file,line,type,commit,author,date,time,timezone,datetime,depth,length
resume.html,111,html,22f37555,MManiSSingh,2025-01-31,20:26:31,-08:00,2025-01-31T20:26:31-08:00,4,13
resume.html,112,html,22f37555,MManiSSingh,2025-01-31,20:26:31,-08:00,2025-01-31T20:26:31-08:00,6,17
resume.html,113,html,22f37555,MManiSSingh,2025-01-31,20:26:31,-08:00,2025-01-31T20:26:31-08:00,6,8
resume.html,114,html,22f37555,MManiSSingh,2025-01-31,20:26:31,-08:00,2025-01-31T20:26:31-08:00,6,10
resume.html,115,html,22f37555,MManiSSingh,2025-01-31,20:26:31,-08:00,2025-01-31T20:26:31-08:00,6,13
resume.html,116,html,22f37555,MManiSSingh,2025-01-31,20:26:31,-08:00,2025-01-31T20:26:31-08:00,6,19
resume.html,117,html,22f37555,MManiSSingh,2025-01-31,20:26:31,-08:00,2025-01-31T20:26:31-08:00,4,0
resume.html,118,html,22f37555,MManiSSingh,2025-01-31,20:26:31,-08:00,2025-01-31T20:26:31-08:00,4,20
resume.html,119,html,22f37555,MManiSSingh,2025-01-31,20:26:31,-08:00,2025-01-31T20:26:31-08:00,6,19
resume.html,120,html,22f37555,MManiSSingh,2025-01-31,20:26:31,-08:00,2025-01-31T20:26:31-08:00,4,0
resume.html,121,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,2,6
resume.html,122,html,b285d0f5,MManiSSingh,2025-01-10,17:20:08,-08:00,2025-01-10T17:20:08-08:00,0,5
resume.html,123,html,b285d0f5,MManiSSingh,2025-01-10,17:20:08,-08:00,2025-01-10T17:20:08-08:00,0,4
resume.html,124,html,420eb7f6,MManiSSingh,2025-01-31,17:05:44,-08:00,2025-01-31T17:05:44-08:00,0,0
resume.html,125,html,b285d0f5,MManiSSingh,2025-01-10,17:20:08,-08:00,2025-01-10T17:20:08-08:00,2,13
resume.html,126,html,b285d0f5,MManiSSingh,2025-01-10,17:20:08,-08:00,2025-01-10T17:20:08-08:00,2,7
resume.html,127,html,b285d0f5,MManiSSingh,2025-01-10,17:20:08,-08:00,2025-01-10T17:20:08-08:00,4,14
resume.html,128,html,b285d0f5,MManiSSingh,2025-01-10,17:20:08,-08:00,2025-01-10T17:20:08-08:00,4,106
resume.html,129,html,b285d0f5,MManiSSingh,2025-01-10,17:20:08,-08:00,2025-01-10T17:20:08-08:00,2,8
resume.html,130,html,b285d0f5,MManiSSingh,2025-01-10,17:20:08,-08:00,2025-01-10T17:20:08-08:00,2,7
resume.html,131,html,b285d0f5,MManiSSingh,2025-01-10,17:20:08,-08:00,2025-01-10T17:20:08-08:00,4,16
resume.html,132,html,b285d0f5,MManiSSingh,2025-01-10,17:20:08,-08:00,2025-01-10T17:20:08-08:00,4,7
resume.html,133,html,b285d0f5,MManiSSingh,2025-01-10,17:20:08,-08:00,2025-01-10T17:20:08-08:00,6,6
resume.html,134,html,05a9cb97,MManiSSingh,2025-01-17,20:23:58,-08:00,2025-01-17T20:23:58-08:00,8,46
resume.html,135,html,b285d0f5,MManiSSingh,2025-01-10,17:20:08,-08:00,2025-01-10T17:20:08-08:00,8,22
resume.html,136,html,b285d0f5,MManiSSingh,2025-01-10,17:20:08,-08:00,2025-01-10T17:20:08-08:00,6,7
resume.html,137,html,b285d0f5,MManiSSingh,2025-01-10,17:20:08,-08:00,2025-01-10T17:20:08-08:00,6,40
resume.html,138,html,b285d0f5,MManiSSingh,2025-01-10,17:20:08,-08:00,2025-01-10T17:20:08-08:00,4,8
resume.html,139,html,b285d0f5,MManiSSingh,2025-01-10,17:20:08,-08:00,2025-01-10T17:20:08-08:00,2,8
resume.html,140,html,b285d0f5,MManiSSingh,2025-01-10,17:20:08,-08:00,2025-01-10T17:20:08-08:00,2,7
resume.html,141,html,b285d0f5,MManiSSingh,2025-01-10,17:20:08,-08:00,2025-01-10T17:20:08-08:00,4,17
resume.html,142,html,b285d0f5,MManiSSingh,2025-01-10,17:20:08,-08:00,2025-01-10T17:20:08-08:00,4,7
resume.html,143,html,b285d0f5,MManiSSingh,2025-01-10,17:20:08,-08:00,2025-01-10T17:20:08-08:00,6,6
resume.html,144,html,b285d0f5,MManiSSingh,2025-01-10,17:20:08,-08:00,2025-01-10T17:20:08-08:00,8,27
resume.html,145,html,b285d0f5,MManiSSingh,2025-01-10,17:20:08,-08:00,2025-01-10T17:20:08-08:00,8,22
resume.html,146,html,b285d0f5,MManiSSingh,2025-01-10,17:20:08,-08:00,2025-01-10T17:20:08-08:00,6,7
resume.html,147,html,89c338d7,MManiSSingh,2025-01-17,20:20:59,-08:00,2025-01-17T20:20:59-08:00,6,2
resume.html,148,html,05a9cb97,MManiSSingh,2025-01-17,20:23:58,-08:00,2025-01-17T20:23:58-08:00,8,126
resume.html,149,html,05a9cb97,MManiSSingh,2025-01-17,20:23:58,-08:00,2025-01-17T20:23:58-08:00,8,100
resume.html,150,html,05a9cb97,MManiSSingh,2025-01-17,20:23:58,-08:00,2025-01-17T20:23:58-08:00,8,97
resume.html,151,html,05a9cb97,MManiSSingh,2025-01-17,20:23:58,-08:00,2025-01-17T20:23:58-08:00,8,108
resume.html,152,html,05a9cb97,MManiSSingh,2025-01-17,20:23:58,-08:00,2025-01-17T20:23:58-08:00,8,87
resume.html,153,html,05a9cb97,MManiSSingh,2025-01-17,20:23:58,-08:00,2025-01-17T20:23:58-08:00,6,3
resume.html,154,html,b285d0f5,MManiSSingh,2025-01-10,17:20:08,-08:00,2025-01-10T17:20:08-08:00,4,8
resume.html,155,html,b285d0f5,MManiSSingh,2025-01-10,17:20:08,-08:00,2025-01-10T17:20:08-08:00,2,8
resume.html,156,html,22f37555,MManiSSingh,2025-01-31,20:26:31,-08:00,2025-01-31T20:26:31-08:00,0,0
